,Image,Mask
13,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\images\ID_039.nii.gz,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\masks\ID_039.nii.gz
14,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\images\ID_041.nii.gz,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\masks\ID_041.nii.gz
15,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\images\ID_042.nii.gz,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\masks\ID_042.nii.gz
16,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\images\ID_046.nii.gz,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\masks\ID_046.nii.gz
17,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\images\ID_047.nii.gz,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\masks\ID_047.nii.gz
18,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\images\ID_048.nii.gz,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\masks\ID_048.nii.gz
19,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\images\ID_049.nii.gz,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\masks\ID_049.nii.gz
20,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\images\ID_050.nii.gz,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\masks\ID_050.nii.gz
21,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\images\ID_051.nii.gz,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\masks\ID_051.nii.gz
22,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\images\ID_057.nii.gz,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\masks\ID_057.nii.gz
23,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\images\ID_059.nii.gz,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\masks\ID_059.nii.gz
24,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\images\ID_061.nii.gz,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\masks\ID_061.nii.gz
25,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\images\ID_064.nii.gz,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\masks\ID_064.nii.gz
26,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\images\ID_068.nii.gz,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\masks\ID_068.nii.gz
27,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\images\ID_071.nii.gz,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\masks\ID_071.nii.gz
28,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\images\ID_073.nii.gz,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\masks\ID_073.nii.gz
29,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\images\ID_085.nii.gz,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\masks\ID_085.nii.gz
30,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\images\ID_090.nii.gz,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\masks\ID_090.nii.gz
31,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\images\ID_092.nii.gz,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\masks\ID_092.nii.gz
32,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\images\ID_096.nii.gz,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\masks\ID_096.nii.gz
33,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\images\ID_100.nii.gz,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\masks\ID_100.nii.gz
34,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\images\ID_102.nii.gz,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\masks\ID_102.nii.gz
35,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\images\ID_103.nii.gz,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\masks\ID_103.nii.gz
36,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\images\ID_107.nii.gz,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\masks\ID_107.nii.gz
37,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\images\ID_110.nii.gz,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\masks\ID_110.nii.gz
38,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\images\ID_113.nii.gz,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\masks\ID_113.nii.gz
39,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\images\ID_116.nii.gz,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\masks\ID_116.nii.gz
40,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\images\ID_117.nii.gz,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\masks\ID_117.nii.gz
41,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\images\ID_118.nii.gz,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\masks\ID_118.nii.gz
42,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\images\ID_121.nii.gz,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\masks\ID_121.nii.gz
43,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\images\ID_123.nii.gz,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\masks\ID_123.nii.gz
